O,D,Ton
2635,459316,87480
2635,460118,16720
2635,459288,4400
2635,459020,76440
2635,459064,15520
2635,459049,3040
2635,459017,3880
2635,459040,3920
2635,459054,8560
2635,459295,30240
2635,458989,3960
2635,459026,3960
2635,459733,3200
2635,459745,3960
2635,459755,17320
2635,459743,10320
2635,459354,100680
2635,459270,24960
2635,459270,4320
2635,459232,11320
2635,459377,8640
2635,459337,3200
2635,459004,10200
2635,460015,4360
2635,459992,49160
2635,459957,3920
2635,459688,4320
2635,459693,38720
2635,459677,15320
2635,459631,25320
2635,459432,19200
2635,459430,7200
2635,459409,8520
2635,459229,8560
2635,459580,39092
2635,459614,3920
2635,459480,6240
2635,459471,4440
2635,459471,2840
2635,459474,17120
2635,459661,8240
2635,459576,76520
2635,459550,3400
2635,459604,47320
2635,459484,22160
2635,459560,7040
2635,459560,10560
2635,459525,12880
2635,460099,6480
2635,459398,3760
2635,459396,4480
2635,459387,6120
2635,459260,13160
2635,459958,7040
2635,459983,16880
2635,459979,7920
2635,459686,10320
2635,459987,4160
2635,459638,3880
2635,459655,31520
2635,459599,95920
2635,459540,16600
2635,458930,6400
2635,458914,4320
2635,458890,8440
2052,459791,16560
2052,459136,19520
2052,459057,3360
2052,459580,34200
2052,459661,5680
2052,459576,3480
2052,459550,6840
2053,459791,2560
2053,459136,12480
2053,459693,220680
2053,459580,10080
2053,459488,14560
2594,459845,6240
2594,459801,3160
2594,459791,30520
2594,459136,14480
2594,459127,10240
2594,460022,1040
2594,459580,50880
2594,459661,6360
2594,459560,3520
2594,458937,4040
2168,459801,17440
2168,459791,3160
2168,459755,3920
2168,459691,3600
2168,459580,5000
2168,459589,1680
2168,459686,2400
2169,459394,7200
2387,458990,2400
2387,459755,3800
2387,459677,5760
2387,459569,6160
2387,459576,2640
2387,459655,20280
2596,459813,18760
2596,459801,36748
2596,459316,29718
2596,459314,113375
2596,459313,2680
2596,459133,7520
2596,459127,14052
2596,459049,3800
2596,459749,28362
2596,459322,3840
2596,459333,209318
2596,459332,7092
2596,460011,26188
2596,459992,7444
2596,459440,3920
2596,459419,129456
2596,459580,34280
2596,459569,19836
2596,459502,6948
2596,459512,427779
2596,459596,8472
2596,459488,23676
2596,459525,30400
2596,459961,15960
2596,458891,19240
2170,459801,55800
2170,459791,28080
2170,459316,12200
2170,459314,2920
2170,459314,6560
2170,459133,27400
2170,459128,96520
2170,459127,46960
2170,459743,3760
2170,459747,18184
2170,459270,12040
2170,459345,7000
2170,459693,7720
2170,459414,3760
2170,459580,980080
2170,459497,150160
2170,459508,115600
2170,459556,4000
2170,459490,17760
2170,459490,158280
2170,459497,2280
2170,459498,74800
2170,459498,126560
2170,459502,62480
2170,459958,6732
2170,459686,59040
2170,459649,45320
2170,458930,1920
2170,458891,26840
2171,459791,1720
2171,459127,840
2171,459580,1360
2171,459661,24080
2636,459316,6600
2636,459580,3240
2636,459661,7400
2636,459576,6680
2636,459550,6320
2636,459604,8360
2636,458934,16360
2377,459948,1080
2377,459801,2760
2377,459791,3960
2377,459304,14040
2377,459133,9360
2377,459295,65520
2377,459741,7160
2377,459745,3600
2377,459270,3360
2377,460043,100
2377,460036,2172
2377,459691,7640
2377,459693,13600
2377,459677,5880
2377,459631,18800
2377,459711,8920
2377,459425,5840
2377,459580,3680
2377,459569,7880
2377,459512,40720
